query_id	depth
AIDA_TA1_GR_2019_0001	20
AIDA_TA1_GR_2019_0002	20
AIDA_TA1_GR_2019_0003	20
AIDA_TA1_GR_2019_0004	20
AIDA_TA1_GR_2019_0005	20
AIDA_TA1_GR_2019_0006	20
AIDA_TA1_GR_2019_0012	20
AIDA_TA1_GR_2019_0013	20
AIDA_TA1_GR_2019_0023	20
AIDA_TA1_GR_2019_0024	20
AIDA_TA1_GR_2019_0025	20
AIDA_TA1_GR_2019_0026	20
AIDA_TA1_GR_2019_0027	20
AIDA_TA1_GR_2019_0029	20
AIDA_TA1_GR_2019_0030	20
AIDA_TA1_GR_2019_0031	20
AIDA_TA1_GR_2019_0034	20
AIDA_TA1_GR_2019_0035	20
AIDA_TA1_GR_2019_0036	20
AIDA_TA1_GR_2019_0037	20
AIDA_TA1_GR_2019_0042	20
AIDA_TA1_GR_2019_0043	20
AIDA_TA1_GR_2019_0052	20
AIDA_TA1_GR_2019_0053	20
AIDA_TA1_GR_2019_0054	20
AIDA_TA1_GR_2019_0057	20
AIDA_TA1_GR_2019_0058	20
AIDA_TA1_GR_2019_0061	20
AIDA_TA1_GR_2019_0062	20
AIDA_TA1_GR_2019_0063	20
AIDA_TA1_GR_2019_0064	20
AIDA_TA1_GR_2019_0065	20
AIDA_TA1_GR_2019_0066	20
AIDA_TA1_GR_2019_0067	20
AIDA_TA1_GR_2019_0068	20
AIDA_TA1_GR_2019_0069	20
AIDA_TA1_GR_2019_0070	20
AIDA_TA1_GR_2019_0071	20
AIDA_TA1_GR_2019_0072	20
AIDA_TA1_GR_2019_0073	20
AIDA_TA1_GR_2019_0074	20
AIDA_TA1_GR_2019_0075	20
AIDA_TA1_GR_2019_0076	20
AIDA_TA1_GR_2019_0077	20
AIDA_TA1_GR_2019_0078	20
AIDA_TA1_GR_2019_0079	20
AIDA_TA1_GR_2019_0080	20
AIDA_TA1_GR_2019_0081	20
AIDA_TA1_GR_2019_0082	20
AIDA_TA1_GR_2019_0083	20
AIDA_TA1_GR_2019_0084	20
AIDA_TA1_GR_2019_0085	20
AIDA_TA1_GR_2019_0086	20
AIDA_TA1_GR_2019_0087	20
AIDA_TA1_GR_2019_0088	20
AIDA_TA1_GR_2019_0089	20
AIDA_TA1_GR_2019_0090	20
AIDA_TA1_GR_2019_0093	20
AIDA_TA1_GR_2019_0094	20
AIDA_TA1_GR_2019_0095	20
AIDA_TA1_GR_2019_0096	20
AIDA_TA1_GR_2019_0097	20
AIDA_TA1_GR_2019_0098	20
AIDA_TA1_GR_2019_0099	20
AIDA_TA1_GR_2019_0100	20
AIDA_TA1_GR_2019_0101	20
AIDA_TA1_GR_2019_0102	20
AIDA_TA1_GR_2019_0103	20
AIDA_TA1_GR_2019_0104	20
AIDA_TA1_GR_2019_0105	20
AIDA_TA1_GR_2019_0106	20
