metatype	system_cluster	gold_cluster	similarity
Entity	cluster-NILE22340	cluster-NILE22340	3
Entity	cluster-NILE22341	cluster-NILE22341	2
Entity	cluster-NILE22342	cluster-NILE22342	4
Entity	cluster-NILE22343	cluster-NILE22343	2
Entity	cluster-NILE22344	cluster-NILE22344	2
Entity	cluster-NILE22345	cluster-NILE22345	2
Entity	cluster-NILE22346	cluster-NILE22346	6
Entity	cluster-NILE22347	cluster-NILE22347	2
Entity	cluster-NILE22348	cluster-NILE22348	3
Entity	cluster-NILE22349	cluster-NILE22349	1
Entity	cluster-NILE22350	cluster-NILE22350	1
Entity	cluster-NILE22351	cluster-NILE22351	1
Entity	cluster-NILE22352	cluster-NILE22352	2
Entity	cluster-NILE22354	cluster-NILE22354	1
Entity	cluster-NILE22355	cluster-NILE22355	1
Entity	cluster-NILE22356	cluster-NILE22356	1
Entity	cluster-NILE22358	cluster-NILE22358	1
Entity	cluster-NILE22359	cluster-NILE22359	1
Entity	cluster-NILE22360	cluster-NILE22360	1
Entity	cluster-NILE22361	cluster-NILE22361	1
Relation	cluster-NILR22340	cluster-NILR22340	1
Relation	cluster-NILR22341	cluster-NILR22341	1
Relation	cluster-NILR22342	cluster-NILR22342	1
Relation	cluster-NILR22343	cluster-NILR22343	1
Relation	cluster-NILR22344	cluster-NILR22344	1
Relation	cluster-NILR22345	cluster-NILR22345	1
Event	cluster-NILV22340	cluster-NILV22340	2
Event	cluster-NILV22341	cluster-NILV22341	2
Event	cluster-NILV22342	cluster-NILV22342	2
Event	cluster-NILV22343	cluster-NILV22343	2
Event	cluster-NILV22345	cluster-NILV22345	1
Event	cluster-NILV22346	cluster-NILV22346	1
