Matrix KE Item Number	Natural Language KE Description	Event/Relation KB ID	Item KE	Ontology ID	Type	Subtype	Sub-subtype	Argument KB ID	Handle in KB	Attribute	Expected Date	Start Date Range	End Date Range
KE001	shooting of protesters by snipers in Maidan in February 2014	NILV80000200	event	LDC_evt_008	conflict	attack	firearmattack		Shooting by snipers on 20 February 2014		2014-02-XX	2014-02-01	2014-02-28
KE001	snipers	NILV80000200	evt008arg01attacker	LDC_ent_106	per	combatant	sniper	80000155	snipers shooting during Maidan				
KE001	protesters	NILV80000200	evt008arg02target	LDC_ent_126	per	protester	unspecified	PTE_R103_001					
KE001	Maidan	NILV80000200	evt008arg04place	LDC_ent_047	fac	structure	plaza	80000020	"Maidan Nezalezhnosti (a.k.a. Maidan, Independence Square)"				
KE002	shooting of police by snipers in Maidan in February 2014	NILV80000200	event	LDC_evt_008	conflict	attack	firearmattack		Shooting by snipers on 20 February 2014		2014-02-XX	2014-02-01	2014-02-28
KE002	snipers	NILV80000200	evt008arg01attacker	LDC_ent_106	per	combatant	sniper	80000155	snipers shooting during Maidan				
KE002	police	NILV80000200	evt008arg02target	LDC_ent_111	per	police	unspecified	PTE_R103_002					
KE002	Maidan	NILV80000200	evt008arg04place	LDC_ent_047	fac	structure	plaza	80000020	"Maidan Nezalezhnosti (a.k.a. Maidan, Independence Square)"				
KE003	protests in Maidan in February 2014	NILV80000197	event	LDC_evt_017	conflict	demonstrate	marchprotestpoliticalgathering		Euromaidan Revolution		2014-02-XX	2014-02-01	2014-02-28
KE003	protesters	NILV80000197	evt017arg01demonstrator	LDC_ent_126	per	protester	unspecified	PTE_R103_001					
KE003	Maidan	NILV80000197	evt017arg02place	LDC_ent_047	fac	structure	plaza	80000020	"Maidan Nezalezhnosti (a.k.a. Maidan, Independence Square)"				
KE004	sponsorship by Ukrainian government of firing on protesters	PTR_R103_001	relation	LDC_rel_021	generalaffiliation	sponsorship	unspecified				Unknown		
KE004	shooting of protesters by snipers in Maidan in February 2014	PTR_R103_001	rel021arg01actororevent	LDC_evt_008	conflict	attack	firearmattack	NILV80000200	Shooting by snipers on 20 February 2014				
KE004	Ukrainian government	PTR_R103_001	rel021arg02sponsor	LDC_ent_085	org	government	unspecified	80000063	Government of Ukraine				
KE005	sponsorship by Ukrainian government of firing on police	PTR_R103_002	relation	LDC_rel_021	generalaffiliation	sponsorship	unspecified				Unknown		
KE005	shooting of police by snipers in Maidan in February 2014	PTR_R103_002	rel021arg01actororevent	LDC_evt_008	conflict	attack	firearmattack	NILV80000200	Shooting by snipers on 20 February 2014				
KE005	Ukrainian government	PTR_R103_002	rel021arg02sponsor	LDC_ent_085	org	government	unspecified	80000063	Government of Ukraine				
KE006	location of Maidan in Kiev	PTR_R103_003	relation	LDC_rel_051	physical	locatednear	unspecified				Unknown		
KE006	Maidan	PTR_R103_003	rel051arg01entityorfiller	LDC_ent_047	fac	structure	plaza	80000020	"Maidan Nezalezhnosti (a.k.a. Maidan, Independence Square)"				
KE006	Kiev	PTR_R103_003	rel051arg02place	LDC_ent_057	gpe	urbanarea	city	703448	Kyiv (a.k.a. Kiev)				
KE007	death of 21 people	NILV80000194	event	LDC_evt_090	life	die	deathcausedbyviolentevents		death of Maidan protesters		2014-02-XX	2014-02-01	2014-02-28
KE007	snipers	NILV80000194	evt090arg01killer	LDC_ent_106	per	combatant	sniper	80000155	snipers shooting during Maidan				
KE007	21 people	NILV80000194	evt090arg02victim	LDC_ent_103	per	unspecified	unspecified	PTE_R103_003					
KE007	Maidan	NILV80000194	evt090arg04place	LDC_ent_047	fac	structure	plaza	80000020	"Maidan Nezalezhnosti (a.k.a. Maidan, Independence Square)"				
KE008	affiliation of coalition government with Ukraine	PTR_R103_004	relation	LDC_rel_018	generalaffiliation	organizationpoliticalreligiousaffiliation	nationalitycitizen				Unknown		
KE008	coalition government	PTR_R103_004	rel018arg01organization	LDC_ent_085	org	government	unspecified	80000063	Government of Ukraine				
KE008	Ukraine	PTR_R103_004	rel018arg02nationality	LDC_ent_053	gpe	country	country	690791	Ukraine				
KE009	affiliation of members with coalition government	PTR_R103_005	relation	LDC_rel_036	organizationaffiliation	employmentmembership	membership				Unknown		
KE009	members of government	PTR_R103_005	rel036arg01member	LDC_ent_113	per	politician	unspecified	PTE_R103_004					
KE009	coalition government	PTR_R103_005	rel036arg02placeofmembership	LDC_ent_085	org	government	unspecified	80000063	Government of Ukraine				
KE010	affiliation of Svoboda party with coalition govenment	PTR_R103_006	relation	LDC_rel_017	generalaffiliation	organizationpoliticalreligiousaffiliation	unspecified				Unknown		
KE010	Svoboda party	PTR_R103_006	rel017arg01organization	LDC_ent_102	org	politicalorganization	party	80000331					
KE010	coalition government	PTR_R103_006	rel017arg02entityorfiller	LDC_ent_085	org	government	unspecified	80000063	Government of Ukraine				
KE011	affiliation of Svoboda party with Ukrainian-nationalist side	PTR_R103_007	relation	LDC_rel_017	generalaffiliation	organizationpoliticalreligiousaffiliation	unspecified				Unknown		
KE011	Svoboda party	PTR_R103_007	rel017arg01organization	LDC_ent_102	org	politicalorganization	party	80000331					
KE011	Ukrainian-nationalist side	PTR_R103_007	rel017arg02entityorfiller	LDC_ent_133	sid	ideological	ideological	80000306					
KE012	count of 21 people	PTR_R103_008	relation	LDC_rel_030	measurement	size	count				2014-02-XX	2014-02-01	2014-02-28
KE012	21	PTR_R103_008	rel030arg01measurement	LDC_ent_139	val	number	number	PTE_R103_005					
KE012	21 people	PTR_R103_008	rel030arg02entityorfiller	LDC_ent_103	per	unspecified	unspecified	PTE_R103_003					
KE013	affiliation between police and Berkut	PTR_R103_009	relation	LDC_rel_034	organizationaffiliation	employmentmembership	unspecified				Unknown		
KE013	police	PTR_R103_009	rel034arg01employeemember	LDC_ent_111	per	police	unspecified	PTE_R103_002					
KE013	Berkut	PTR_R103_009	rel034arg02placeofemploymentmembership	LDC_ent_089	org	government	lawenforcementagency	80000093	Berkut Riot Police				
