claim_id	component_type	id	fieldname	value	correctness
CLL0C04AJNP.001443	claimTopic	1	value	Non-Pharmaceutical Interventions (NPIs): Masks	--
CLL0C04AJNP.001443	claimSubtopic	1	value	Places where there are regulations for wearing masks to prevent the spread of COVID-19	--
CLL0C04AJNP.001443	claimDescription	1	value	Masks required indoors	--
CLL0C04AJNP.001443	claimTemplate	1	value	Wearing masks is required in location/GPE/facility-x	NIL
CLL0C04AJNP.001443	claimDocument	1	value	L0C04AJNP	--
CLL0C04AJNP.001443	claimEpistemic	1	polarity	EpistemicTrueCertain	NIL
CLL0C04AJNP.001443	claimEpistemic	1	strength	EpistemicTrueCertain	NIL
CLL0C04AJNP.001443	claimSentiment	1	value	SentimentNeutralUnknown	NIL
CLL0C04AJNP.001443	claimer	1	name	author	NIL
CLL0C04AJNP.001443	claimer	1	qnode_id	EMPTY_TBD	NIL
CLL0C04AJNP.001443	claimer	1	qnode_type	EMPTY_TBD	NIL
CLL0C04AJNP.001443	claimer	1	qnode_type	Q482980	NIL
CLL0C04AJNP.001443	claimer	1	informativenessAssessment	value	NIL
CLL0C04AJNP.001443	claimer	1	overallAssessment	value	NIL
CLL0C04AJNP.001443	claimer	1	ec_id	value	NIL
CLL0C04AJNP.001443	claimer	1	ec_similarity	value	NIL
CLL0C04AJNP.001443	xVariable	1	name	indoors	NIL
CLL0C04AJNP.001443	xVariable	1	qnode_id	EMPTY_TBD	NIL
CLL0C04AJNP.001443	xVariable	1	qnode_type	EMPTY_TBD	NIL
CLL0C04AJNP.001443	xVariable	1	qnode_type	Q1299240	NIL
CLL0C04AJNP.001443	xVariable	1	informativenessAssessment	value	NIL
CLL0C04AJNP.001443	xVariable	1	overallAssessment	value	NIL
CLL0C04AJNP.001443	xVariable	1	ec_id	value	NIL
CLL0C04AJNP.001443	xVariable	1	ec_similarity	value	NIL
