category	ldctype	ldcsubtype	ldcrole	nisttype	nistsubtype	nistrole
Relation	phys	locnear	perthg	Physical	LocatedNear	Entity
Relation	phys	locnear	plc	Physical	LocatedNear	Place
Relation	phys	resident	perpgr	Physical	Resident	Resident
Relation	phys	resident	plc	Physical	Resident	Place
Relation	phys	orghq	org	Physical	OrganizationHeadquarter	Organization
Relation	phys	orghq	plc	Physical	OrganizationHeadquarter	Place
Relation	phys	orglocorig	org	Physical	OrganizationLocationOrigin	Organization
Relation	phys	orglocorig	plc	Physical	OrganizationLocationOrigin	Place
Relation	partwhole	subsid	subsid	PartWhole	Subsidiary	Subsidiary
Relation	partwhole	subsid	parorggpe	PartWhole	Subsidiary	Parent
Relation	partwhole	membership	orggpe	PartWhole	Membership	Member
Relation	partwhole	membership	memorg	PartWhole	Membership	Organization
Relation	persoc	bus	per	PersonalSocial	Business	Person
Relation	persoc	bus	per	PersonalSocial	Business	Person
Relation	persoc	fam	per	PersonalSocial	Family	Person
Relation	persoc	fam	per	PersonalSocial	Family	Person
Relation	persoc	unspc	per	PersonalSocial	Unspecified	Person
Relation	persoc	unspc	per	PersonalSocial	Unspecified	Person
Relation	persoc	role	per	PersonalSocial	RoleTitle	Person
Relation	persoc	role	ttljob	PersonalSocial	RoleTitle	Title
Relation	orgafl	empmem	per	OrganizationAffiliation	EmploymentMembership	Employee
Relation	orgafl	empmem	orggpe	OrganizationAffiliation	EmploymentMembership	Organization
Relation	orgafl	lead	per	OrganizationAffiliation	Leadership	Leader
Relation	orgafl	lead	orggpe	OrganizationAffiliation	Leadership	Organization
Relation	orgafl	invshar	perorggpe	OrganizationAffiliation	InvestorShareholder	InvestorShareholder
Relation	orgafl	invshar	org	OrganizationAffiliation	InvestorShareholder	Organization
Relation	orgafl	stualm	per	OrganizationAffiliation	StudentAlum	StudentAlum
Relation	orgafl	stualm	org	OrganizationAffiliation	StudentAlum	Organization
Relation	orgafl	own	per	OrganizationAffiliation	Ownership	Owner
Relation	orgafl	own	org	OrganizationAffiliation	Ownership	Organization
Relation	orgafl	found	perorggpe	OrganizationAffiliation	Founder	Founder
Relation	orgafl	found	org	OrganizationAffiliation	Founder	Organization
Relation	genafl	more	per	GeneralAffiliation	MORE	Person
Relation	genafl	more	pgr	GeneralAffiliation	MORE	Affiliation
Relation	genafl	opra	org	GeneralAffiliation	OPRA	Organization
Relation	genafl	opra	pgrorgsid	GeneralAffiliation	OPRA	Affiliation
Relation	genafl	apora	arfthg	GeneralAffiliation	APORA	Affiliate
Relation	genafl	apora	perpgrorggpelocsid	GeneralAffiliation	APORA	Affiliation
Relation	genafl	spon	evtorggpeloc	GeneralAffiliation	Sponsorship	Entity
Relation	genafl	spon	gpelocorgsid	GeneralAffiliation	Sponsorship	Sponsor
Relation	genafl	perage	per	GeneralAffiliation	PersonAge	Person
Relation	genafl	perage	age	GeneralAffiliation	PersonAge	Age
Relation	genafl	orgweb	org	GeneralAffiliation	OrganizationWebsite	Organization
Relation	genafl	orgweb	url	GeneralAffiliation	OrganizationWebsite	Website
Event	life	beborn	per	Life	BeBorn	Person
Event	life	beborn	plc	Life	BeBorn	Place
Event	life	beborn	date	Life	BeBorn	Time
Event	life	marry	per	Life	Marry	Person
Event	life	marry	per	Life	Marry	Person
Event	life	marry	plc	Life	Marry	Place
Event	life	marry	date	Life	Marry	Time
Event	life	divorce	per	Life	Divorce	Person
Event	life	divorce	per	Life	Divorce	Person
Event	life	divorce	plc	Life	Divorce	Place
Event	life	divorce	date	Life	Divorce	Time
Event	life	injure	perorggpe	Life	Injure	Agent
Event	life	injure	per	Life	Injure	Victim
Event	life	injure	weavehthg	Life	Injure	Instrument
Event	life	injure	plc	Life	Injure	Place
Event	life	injure	date	Life	Injure	Time
Event	life	die	perorggpe	Life	Die	Agent
Event	life	die	per	Life	Die	Victim
Event	life	die	weavehthg	Life	Die	Instrument
Event	life	die	plc	Life	Die	Place
Event	life	die	date	Life	Die	Time
Event	movement	transper	perorggpe	Movement	TransportPerson	Agent
Event	movement	transper	per	Movement	TransportPerson	Person
Event	movement	transper	vehwea	Movement	TransportPerson	Instrument
Event	movement	transper	plcfrom	Movement	TransportPerson	Origin
Event	movement	transper	plcto	Movement	TransportPerson	Destination
Event	movement	transper	date	Movement	TransportPerson	Time
Event	movement	transart	perorggpe	Movement	TransportArtifact	Agent
Event	movement	transart	thg	Movement	TransportArtifact	Artifact
Event	movement	transart	vehwea	Movement	TransportArtifact	Instrument
Event	movement	transart	plcfrom	Movement	TransportArtifact	Origin
Event	movement	transart	plcto	Movement	TransportArtifact	Destination
Event	movement	transart	date	Movement	TransportArtifact	Time
Event	business	startbus	org	Business	Start	Organization
Event	business	startbus	plc	Business	Start	Place
Event	business	startbus	date	Business	Start	Time
Event	business	startbus	perorggpe	Business	Start	Agent
Event	business	merge	org	Business	Merge	Organization
Event	business	merge	org	Business	Merge	Organization
Event	business	merge	plc	Business	Merge	Place
Event	business	merge	date	Business	Merge	Time
