query_id	max_num_clusters
AIDA_TA1_CL_2019_0001	1000
AIDA_TA1_CL_2019_0002	1000
AIDA_TA1_CL_2019_0003	1000
AIDA_TA1_CL_2019_0004	1000
AIDA_TA1_CL_2019_0005	1000
AIDA_TA1_CL_2019_0006	1000
AIDA_TA1_CL_2019_0010	1000
AIDA_TA1_CL_2019_0011	1000
AIDA_TA1_CL_2019_0012	1000
AIDA_TA1_CL_2019_0013	1000
AIDA_TA1_CL_2019_0015	1000
AIDA_TA1_CL_2019_0016	1000
AIDA_TA1_CL_2019_0017	1000
AIDA_TA1_CL_2019_0018	1000
AIDA_TA1_CL_2019_0019	1000
AIDA_TA1_CL_2019_0020	1000
AIDA_TA1_CL_2019_0021	1000
AIDA_TA1_CL_2019_0022	1000
AIDA_TA1_CL_2019_0023	1000
AIDA_TA1_CL_2019_0024	1000
AIDA_TA1_CL_2019_0025	1000
AIDA_TA1_CL_2019_0026	1000
AIDA_TA1_CL_2019_0027	1000
AIDA_TA1_CL_2019_0028	1000
AIDA_TA1_CL_2019_0029	1000
AIDA_TA1_CL_2019_0030	1000
AIDA_TA1_CL_2019_0034	1000
AIDA_TA1_CL_2019_0035	1000
AIDA_TA1_CL_2019_0036	1000
AIDA_TA1_CL_2019_0038	1000
AIDA_TA1_CL_2019_0039	1000
AIDA_TA1_CL_2019_0040	1000
AIDA_TA1_CL_2019_0041	1000
AIDA_TA1_CL_2019_0042	1000
AIDA_TA1_CL_2019_0043	1000
AIDA_TA1_CL_2019_0044	1000
AIDA_TA1_CL_2019_0045	1000
AIDA_TA1_CL_2019_0046	1000
AIDA_TA1_CL_2019_0047	1000
AIDA_TA1_CL_2019_0048	1000
AIDA_TA1_CL_2019_0049	1000
AIDA_TA1_CL_2019_0050	1000
AIDA_TA1_CL_2019_0051	1000
AIDA_TA1_CL_2019_0052	1000
AIDA_TA1_CL_2019_0053	1000
AIDA_TA1_CL_2019_0054	1000
AIDA_TA1_CL_2019_0055	1000
AIDA_TA1_CL_2019_0056	1000
AIDA_TA1_CL_2019_0057	1000
AIDA_TA1_CL_2019_0058	1000
AIDA_TA1_CL_2019_0059	1000
AIDA_TA1_CL_2019_0060	1000
AIDA_TA1_CL_2019_0061	1000
AIDA_TA1_CL_2019_0062	1000
