claim_id	component_type	id	fieldname	value	correctness
CLL0C04AJNP.001495	claimTopic	1	value	Who can contract COVID-19	--
CLL0C04AJNP.001495	claimSubtopic	1	value		--
CLL0C04AJNP.001495	claimDescription	1	value	people in tight spaces have high risk of contracting virus	--
CLL0C04AJNP.001495	claimTemplate	1	value		NIL
CLL0C04AJNP.001495	claimDocument	1	value	L0C04AJNP	--
CLL0C04AJNP.001495	claimEpistemic	1	polarity	EpistemicTrueUncertain	NIL
CLL0C04AJNP.001495	claimEpistemic	1	strength	EpistemicTrueUncertain	NIL
CLL0C04AJNP.001495	claimSentiment	1	value	SentimentNeutralUnknown	NIL
CLL0C04AJNP.001495	claimer	1	name	author	NIL
CLL0C04AJNP.001495	claimer	1	qnode_id	EMPTY_TBD	NIL
CLL0C04AJNP.001495	claimer	1	qnode_type	EMPTY_TBD	NIL
CLL0C04AJNP.001495	claimer	1	qnode_type	Q482980	NIL
CLL0C04AJNP.001495	claimer	1	informativenessAssessment	value	NIL
CLL0C04AJNP.001495	claimer	1	overallAssessment	value	NIL
CLL0C04AJNP.001495	claimer	1	ec_id	value	NIL
CLL0C04AJNP.001495	claimer	1	ec_similarity	value	NIL
