doceid	segment_id	start_char	end_char	start_segment_offset	end_segment_offset
IC001V7CS	0	1	28	279	807
IC001V7CS	1	32	59	808	1340
IC001V7CS	2	62	76	1341	1741
IC001V7CS	3	78	118	1742	2435
IC001V7CS	4	121	212	2436	4167
IC001V7CS	5	214	344	4168	6478
IC001V7CS	6	348	502	6479	8972
IC001V7CS	7	504	620	8973	10972
IC001V7CS	8	622	717	10973	12623
IC001V7CS	9	720	1036	12624	18217
IC001V7CS	10	1039	1142	18218	20223
IC001V7CS	11	1144	1313	20224	23021
IC001V7CS	12	1316	1467	23022	25395
IC001V7CS	13	1469	1661	25396	29079
IC001V7CS	14	1664	1769	29080	31269
IC001V7CS	15	1771	1913	31270	33781
IC001V7CS	16	1915	2047	33782	36076
IC001V7CS	17	2049	2118	36077	37590
IC001V7CS	18	2121	2307	37591	40977
IC001V7CS	19	2309	2434	40978	43421
IC001V7CT	0	1	68	279	1457
IC001V7CT	1	72	96	1458	2108
IC001V7CT	2	100	146	2109	3323
IC001V7CT	3	148	449	3324	7851
IC001V7CT	4	452	488	7852	8770
IC001V7CT	5	490	583	8771	11021
IC001V7CT	6	585	627	11022	11791
IC001V7CT	7	629	723	11792	13278
IC001V7CT	8	725	811	13279	15165
IC001V7CT	9	814	927	15166	17238
IC001V7CT	10	929	1131	17239	20759
IC001V7CT	11	1134	1254	20760	22827
IC001V7CT	12	1256	1360	22828	24747
IC001V7CT	13	1362	1422	24748	25874
IC001V7CT	14	1425	1623	25875	29142
IC001V7CT	15	1625	1714	29143	31182
IC001V7CT	16	1717	1764	31183	32170
IC001V7CU	0	1	60	279	1501
IC001V7CU	1	67	110	1502	2447
IC001V7CU	2	112	134	2448	3106
IC001V7CU	3	138	393	3107	7630
IC001V7CU	4	396	413	7631	8277
IC001V7CU	5	417	668	8278	12797
IC001V7CU	6	671	953	12798	17992
IC001V7CU	7	955	973	17993	18471
IC001V7CU	8	976	1171	18472	22062
IC001V7CU	9	1174	1253	22063	23559
IC001V7CU	10	1255	1350	23560	25281
IC001V7CU	11	1353	1466	25282	27683
IC001V7CU	12	1469	1666	27684	31251
IC001V7CU	13	1669	1689	31252	32014
IC001V7CU	14	1693	1803	32015	33948
IC001V7CU	15	1806	1924	33949	36264
IC001V7CU	16	1926	1994	36265	37672
IC001V7CU	17	1997	2147	37673	40500
IC001V7CU	18	2150	2265	40501	42540
IC001V7CU	19	2268	2335	42541	43942
IC001V7CU	20	2338	2470	43943	46558
IC001V7CU	21	2472	2541	46559	48056
IC001V7CV	0	1	58	279	1417
IC001V7CV	1	62	329	1418	5971
IC001V7CV	2	332	345	5972	6459
IC001V7CV	3	348	352	6460	6658
IC001V7CV	4	355	361	6659	7031
IC001V7CV	5	364	374	7032	7254
IC001V7CV	6	377	407	7255	7892
IC001V7CV	7	410	446	7893	8728
IC001V7CV	8	448	593	8729	11528
IC001V7CV	9	596	747	11529	14180
IC001V7CV	10	750	774	14181	14888
IC001V7CV	11	777	805	14889	15616
IC001V7CV	12	807	908	15617	17752
IC001V7CV	13	911	1036	17753	19821
IC001V7CV	14	1039	1168	19822	22553
IC001V7CV	15	1171	1186	22554	23068
IC001V7CV	16	1189	1327	23069	25832
IC001V7CV	17	1329	1417	25833	27514
IC001V7CV	18	1420	1512	27515	29474
IC001V7CV	19	1515	1528	29475	29891
IC001V7CV	20	1530	1636	29892	31999
IC001V7CV	21	1639	1663	32000	32721
IC001V7CV	22	1666	1676	32722	33037
IC001V7CV	23	1679	1945	33038	37710
IC001V7CV	24	1948	2174	37711	41890
IC001V7CV	25	2176	2224	41891	42971
IC001V7CV	26	2227	2353	42972	45423
IC001V7CV	27	2356	2435	45424	47244
IC001V7CV	28	2438	2647	47245	50999
IC001V7CV	29	2649	2759	51000	53127
IC001V7CW	0	1	25	280	880
IC001V7CW	1	30	310	881	5047
IC001V7CW	2	313	454	5048	7489
IC001V7CW	3	457	556	7490	9345
IC001V7CW	4	558	659	9346	10945
IC001V7CW	5	662	891	10946	15019
IC001V7CW	6	893	936	15020	15964
IC001V7CW	7	938	958	15965	16649
IC001V7CW	8	961	984	16650	17176
IC001V7CW	9	987	1249	17177	21712
IC001V7CW	10	1252	1390	21713	24476
IC001V7CW	11	1394	1427	24477	25323
IC001V7CW	12	1429	1547	25324	27563
IC001V7CW	13	1549	1625	27564	29197
IC001V7CW	14	1627	1650	29198	29915
IC001V7CW	15	1654	1883	29916	33749
IC001V7CW	16	1886	2011	33750	36111
IC001V7CW	17	2013	2076	36112	37515
IC001V7CW	18	2079	2115	37516	38370
IC001V7CW	19	2118	2366	38371	43252
IC001V7CW	20	2369	2497	43253	45716
IC001V7CW	21	2501	2626	45717	48078
IC001V7CW	22	2628	2713	48079	50104
IC001V7CW	23	2716	2909	50105	53262
IC001V7CW	24	2913	3069	53263	56184
IC001V7CW	25	3071	3241	56185	59980
IC001V7CW	26	3243	3312	59981	61230
IC001V7CW	27	3315	3509	61231	64752
IC001V7CW	28	3511	3613	64753	66580
IC001V7CW	29	3616	3807	66581	70532
IC001V7CW	30	3809	3904	70533	72506
IC001V7CW	31	3907	3950	72507	73215
IC001V7CW	32	3953	4134	73216	76419
IC001V7CW	33	4137	4339	76420	81035
IC001V7CW	34	4343	4686	81036	87445
IC001V7CW	35	4688	4722	87446	88122
IC001V7CW	36	4724	4747	88123	88840
IC001V7CW	37	4750	4781	88841	89683
IC001V7CW	38	4784	5156	89684	95681
IC001V7CW	39	5158	5331	95682	99190
IC001V7CW	40	5334	5520	99191	103020
IC001V7CW	41	5524	5737	103021	106872
IC001V7CW	42	5739	5841	106873	108969
IC001V7CW	43	5843	5870	108970	109881
IC001V7CW	44	5873	6077	109882	113627
IC001V7CW	45	6080	6152	113628	115065
IC001V7CW	46	6154	6327	115066	118317
IC001V7CW	47	6329	6431	118318	120497
IC001V7CW	48	6434	6462	120498	121059
IC001V7CW	49	6465	6578	121060	123283
IC001V7CW	50	6581	6710	123284	125477
IC001V7CW	51	6712	6895	125478	128848
IC001V7CW	52	6898	7036	128849	131252
IC001V7CW	53	7040	7239	131253	135523
IC001V7CW	54	7242	7513	135524	140324
IC001V7CW	55	7516	7725	140325	144532
IC001V7CW	56	7729	7939	144533	148205
IC001V7CW	57	7942	8073	148206	150495
IC001V7CW	58	8077	8090	150496	150823
IC001V7CW	59	8093	8304	150824	155025
IC001V7CW	60	8307	8409	155026	157383
IC001V7CW	61	8411	8473	157384	158783
IC001V7CW	62	8475	8578	158784	160699
IC001V7CW	63	8580	8609	160700	161441
IC001V7CW	64	8612	8644	161442	161695
IC001V7CW	65	8647	8725	161696	162979
IC001V7CW	66	8729	9009	162980	168343
IC001V7CW	67	9012	9195	168344	171547
IC001V7CW	68	9199	9292	171548	173333
IC001V7CW	69	9294	9452	173334	176351
IC001V7CW	70	9455	9546	176352	177777
IC001V7CW	71	9548	9631	177778	179435
IC001V7CW	72	9634	9738	179436	181269
IC001V7CW	73	9740	9783	181270	182420
IC001V7CW	74	9785	9935	182421	185147
IC001V7CW	75	9938	10066	185148	187809
IC001V7CW	76	10070	10228	187810	190701
IC001V7CW	77	10231	10385	190702	193487
IC001V7CW	78	10387	10482	193488	195135
IC001V7CW	79	10484	10505	195136	195859
IC001V7CW	80	10508	10529	195860	196095
IC001V7CW	81	10532	10572	196096	196893
IC001V7CW	82	10576	10854	196894	201974
IC001V7CW	83	10857	11134	201975	207422
IC001V7CW	84	11136	11151	207423	207944
IC001V7CW	85	11154	11220	207945	209115
