Matrix KE Item Number	Natural Language KE Description	Event/Relation KB ID	Item KE	Ontology ID	Type	Subtype	Sub-subtype	Argument KB ID	Handle in KB	Attribute	Expected Date	Start Date Range	End Date Range
KE001	shooting of protesters by snipers in Maidan in February 2014	TBD	event	LDC_evt_008	conflict	attack	firearmattack				2014-02-XX	2014-02-01	2014-02-28
KE001	snipers	TBD	evt008arg01attacker	LDC_ent_106	per	combatant	sniper	TBD	snipers shooting during Maidan				
KE001	protesters	TBD	evt008arg02target	LDC_ent_126	per	protester	unspecified	TBD					
KE001	Maidan	TBD	evt008arg04place	LDC_ent_047	fac	structure	plaza	TBD	"Maidan Nezalezhnosti (a.k.a. Maidan, Independence Square)"				
KE002	shooting of police by snipers in Maidan in February 2014	TBD	event	LDC_evt_008	conflict	attack	firearmattack				2014-02-XX	2014-02-01	2014-02-28
KE002	snipers	TBD	evt008arg01attacker	LDC_ent_106	per	combatant	sniper	TBD	snipers shooting during Maidan				
KE002	police	TBD	evt008arg02target	LDC_ent_111	per	police	unspecified	TBD					
KE002	Maidan	TBD	evt008arg04place	LDC_ent_047	fac	structure	plaza	TBD	"Maidan Nezalezhnosti (a.k.a. Maidan, Independence Square)"				
KE003	protests in Maidan in February 2014	TBD	event	LDC_evt_017	conflict	demonstrate	marchprotestpoliticalgathering		Euromaidan Revolution		2014-02-XX	2014-02-01	2014-02-28
KE003	protesters	TBD	evt017arg01demonstrator	LDC_ent_126	per	protester	unspecified	TBD					
KE003	Maidan	TBD	evt017arg02place	LDC_ent_047	fac	structure	plaza	TBD	"Maidan Nezalezhnosti (a.k.a. Maidan, Independence Square)"				
KE004	sponsorship by Ukrainian government of firing on protesters	TBD	relation	LDC_rel_021	generalaffiliation	sponsorship	unspecified				Unknown		
KE004	shooting of protesters by snipers in Maidan in February 2014	TBD	rel021arg01actororevent	LDC_evt_008	conflict	attack	firearmattack	TBD	Shooting by snipers on 20 February 2014				
KE004	Ukrainian government	TBD	rel021arg02sponsor	LDC_ent_085	org	government	unspecified	TBD	Government of Ukraine				
KE005	sponsorship by Ukrainian government of firing on police	TBD	relation	LDC_rel_021	generalaffiliation	sponsorship	unspecified				Unknown		
KE005	shooting of police by snipers in Maidan in February 2014	TBD	rel021arg01actororevent	LDC_evt_008	conflict	attack	firearmattack	TBD	Shooting by snipers on 20 February 2014				
KE005	Ukrainian government	TBD	rel021arg02sponsor	LDC_ent_085	org	government	unspecified	TBD	Government of Ukraine				
KE006	location of Maidan in Kiev	TBD	relation	LDC_rel_051	physical	locatednear	unspecified				Unknown		
KE006	Maidan	TBD	rel051arg01entityorfiller	LDC_ent_047	fac	structure	plaza	TBD	"Maidan Nezalezhnosti (a.k.a. Maidan, Independence Square)"				
KE006	Kiev	TBD	rel051arg02place	LDC_ent_057	gpe	urbanarea	city	703448	Kyiv (a.k.a. Kiev)				
KE007	death of 21 people	TBD	event	LDC_evt_090	life	die	deathcausedbyviolentevents				2014-02-XX	2014-02-01	2014-02-28
KE007	snipers	TBD	evt090arg01killer	LDC_ent_106	per	combatant	sniper	TBD	snipers shooting during Maidan				
KE007	21 people	TBD	evt090arg02victim	LDC_ent_103	per	unspecified	unspecified	TBD					
KE007	Maidan	TBD	evt090arg04place	LDC_ent_047	fac	structure	plaza	TBD	"Maidan Nezalezhnosti (a.k.a. Maidan, Independence Square)"				
KE008	affiliation of coalition government with Ukraine	TBD	relation	LDC_rel_018	generalaffiliation	organizationpoliticalreligiousaffiliation	nationalitycitizen				Unknown		
KE008	coalition government	TBD	rel018arg01organization	LDC_ent_085	org	government	unspecified	TBD	Government of Ukraine				
KE008	Ukraine	TBD	rel018arg02nationality	LDC_ent_053	gpe	country	country	TBD	Ukraine				
KE009	affiliation of members with coalition government	TBD	relation	LDC_rel_036	organizationaffiliation	employmentmembership	membership				Unknown		
KE009	members of government	TBD	rel036arg01member	LDC_ent_113	per	politician	unspecified	TBD					
KE009	coalition government	TBD	rel036arg02placeofmembership	LDC_ent_085	org	government	unspecified	TBD	Government of Ukraine				
KE010	affiliation of Svoboda party with coalition govenment	TBD	relation	LDC_rel_017	generalaffiliation	organizationpoliticalreligiousaffiliation	unspecified				Unknown		
KE010	Svoboda party	TBD	rel017arg01organization	LDC_ent_102	org	politicalorganization	party	TBD					
KE010	coalition government	TBD	rel017arg02entityorfiller	LDC_ent_085	org	government	unspecified	TBD	Government of Ukraine				
KE011	affiliation of Svoboda party with Ukrainian-nationalist side	TBD	relation	LDC_rel_017	generalaffiliation	organizationpoliticalreligiousaffiliation	unspecified				Unknown		
KE011	Svoboda party	TBD	rel017arg01organization	LDC_ent_102	org	politicalorganization	party	TBD					
KE011	Ukrainian-nationalist side	TBD	rel017arg02entityorfiller	LDC_ent_133	sid	ideological	ideological	TBD					
KE012	count of 21 people	TBD	relation	LDC_rel_030	measurement	size	count				2014-02-XX	2014-02-01	2014-02-28
KE012	21	TBD	rel030arg01measurement	LDC_ent_139	val	number	number	TBD					
KE012	21 people	TBD	rel030arg02entityorfiller	LDC_ent_103	per	unspecified	unspecified	TBD					
KE013	affiliation between police and Berkut	TBD	relation	LDC_rel_034	organizationaffiliation	employmentmembership	unspecified				Unknown		
KE013	police	TBD	rel034arg01employeemember	LDC_ent_111	per	police	unspecified	TBD					
KE013	Berkut	TBD	rel034arg02placeofemploymentmembership	LDC_ent_089	org	government	lawenforcementagency	TBD	Berkut Riot Police				
