Matrix KE Item Number	Natural Language KE Description	Event/Relation KB ID	Item KE	Ontology ID	Type	Subtype	Sub-subtype	Argument KB ID	Handle in KB	Attribute	Expected Date	Start Date Range	End Date Range
KE001	Referendum voting	TBD	event	LDC_evt_072	government	vote	castvote		Donbass status referendums		2014-05-XX	2014-05-10	2014-05-11
KE001	Donbass	TBD	evt072arg05place	LDC_ent_071	loc	position	region	709718	Donbass				
KE002	election interference	TBD	event	LDC_evt_073	government	vote	violationspreventvote		Interference in the Donbass Status Referendum voting		Start before 2014-05-12	2014-03-01	2014-05-11
KE002	Donbass	TBD	evt073arg05place	LDC_ent_071	loc	position	region	709718	Donbass				
KE003	individuals owning weapons	TBD	relation	LDC_rel_013	generalaffiliation	artifactpoliticalorganizationreligiousaffiliation	ownershippossession				Unknown		
KE003	weapons	TBD	rel013arg01artifact	LDC_ent_160	wea	unspecified	unspecified	TBD					
KE003	individuals staffing polling places	TBD	rel013arg02owner	LDC_ent_117	per	professionalposition	unspecified	TBD					
KE004	employment relation of individuals staffing with polling places	TBD	relation	LDC_rel_035	organizationaffiliation	employmentmembership	employment				Start before 2014-05-12	2014-03-01	2014-05-11
KE004	individuals staffing polling places	TBD	rel035arg01employee	LDC_ent_117	per	professionalposition	unspecified	TBD					
KE004	polling places	TBD	rel035arg02placeofemployment	LDC_ent_036	fac	building	votingfacility	TBD					
KE005	polling places surrounded by barriers	TBD	relation	LDC_rel_053	physical	locatednear	surround				Start before 2014-05-12	2014-03-01	2014-05-11
KE005	polling places	TBD	rel053arg01place	LDC_ent_036	fac	building	votingfacility	TBD					
KE005	barriers	TBD	rel053arg02entityorfiller	LDC_ent_045	fac	structure	barricade	TBD					
KE006	journalists taken hostage	TBD	event	LDC_evt_079	justice	arrestjaildetain	arrestjaildetain		Journalists taken hostage		Start before 2014-05-12	2014-03-01	2014-05-11
KE006	journalists	TBD	evt079arg02detainee	LDC_ent_120	per	professionalposition	journalist	TBD					
KE006	Donbass	TBD	evt079arg04place	LDC_ent_071	loc	position	region	709718	Donbass				
KE007	aid workers taken hostage	TBD	event	LDC_evt_079	justice	arrestjaildetain	arrestjaildetain		Aid workers taken hostage		Start before 2014-05-12	2014-03-01	2014-05-11
KE007	aid workers	TBD	evt079arg02detainee	LDC_ent_103	per	unspecified	unspecified	TBD					
KE007	Donbass	TBD	evt079arg04place	LDC_ent_071	loc	position	region	709718	Donbass				
KE008	politicians taken hostage	TBD	event	LDC_evt_079	justice	arrestjaildetain	arrestjaildetain		Politicians taken hostage		Start before 2014-05-12	2014-03-01	2014-05-11
