Matrix KE Item Number	Natural Language KE Description	Event/Relation KB ID	Item KE	Ontology ID	Type	Subtype	Sub-subtype	Argument KB ID	Handle in KB	Attribute	Expected Date	Start Date Range	End Date Range
KE001	shooting of protesters by snipers in Maidan in February 2014	NILV80000200	event	LDC_evt_008	conflict	attack	firearmattack		Shooting by snipers on 20 February 2014		2014-02-XX	2014-02-01	2014-02-28
KE001	snipers	NILV80000200	evt008arg01attacker	LDC_ent_106	per	combatant	sniper	80000155	snipers shooting during Maidan				
KE001	protesters	NILV80000200	evt008arg02target	LDC_ent_126	per	protester	unspecified	PTE_R103_001					
KE001	Maidan	NILV80000200	evt008arg04place	LDC_ent_047	fac	structure	plaza	80000020	"Maidan Nezalezhnosti (a.k.a. Maidan, Independence Square)"				
KE002	shooting of police by snipers in Maidan in February 2014	NILV80000200	event	LDC_evt_008	conflict	attack	firearmattack		Shooting by snipers on 20 February 2014		2014-02-XX	2014-02-01	2014-02-28
KE002	snipers	NILV80000200	evt008arg01attacker	LDC_ent_106	per	combatant	sniper	80000155	snipers shooting during Maidan				
KE002	police	NILV80000200	evt008arg02target	LDC_ent_111	per	police	unspecified	PTE_R103_002					
KE002	Maidan	NILV80000200	evt008arg04place	LDC_ent_047	fac	structure	plaza	80000020	"Maidan Nezalezhnosti (a.k.a. Maidan, Independence Square)"				
KE003	protests in Maidan in February 2014	NILV80000197	event	LDC_evt_017	conflict	demonstrate	marchprotestpoliticalgathering		Euromaidan Revolution		2014-02-XX	2014-02-01	2014-02-28
KE003	protesters	NILV80000197	evt017arg01demonstrator	LDC_ent_126	per	protester	unspecified	PTE_R103_001					
KE003	Maidan	NILV80000197	evt017arg02place	LDC_ent_047	fac	structure	plaza	80000020	"Maidan Nezalezhnosti (a.k.a. Maidan, Independence Square)"				
KE004	sponsorship by CIA of firing on protesters	PTR_R103_011	relation	LDC_rel_021	generalaffiliation	sponsorship	unspecified				Unknown		
KE004	shooting of protesters by snipers in Maidan in February 2014	PTR_R103_011	rel021arg01actororevent	LDC_evt_008	conflict	attack	firearmattack	NILV80000200	Shooting by snipers on 20 February 2014				
KE004	CIA	PTR_R103_011	rel021arg02sponsor	LDC_ent_086	org	government	agency	80000069	Central Intelligence Agency (a.k.a. CIA)				
KE005	sponsorship by CIA of firing on police	PTR_R103_012	relation	LDC_rel_021	generalaffiliation	sponsorship	unspecified				Unknown		
KE005	shooting of police by snipers in Maidan in February 2014	PTR_R103_012	rel021arg01actororevent	LDC_evt_008	conflict	attack	firearmattack	NILV80000200	Shooting by snipers on 20 February 2014				
KE005	CIA	PTR_R103_012	rel021arg02sponsor	LDC_ent_086	org	government	agency	80000069	Central Intelligence Agency (a.k.a. CIA)				
KE006	affiliation between CIA and US	PTR_R103_013	relation	LDC_rel_018	generalaffiliation	organizationpoliticalreligiousaffiliation	nationalitycitizen				Unknown		
KE006	CIA	PTR_R103_013	rel018arg01organization	LDC_ent_086	org	government	agency	80000069	Central Intelligence Agency (a.k.a. CIA)				
KE006	US	PTR_R103_013	rel018arg02nationality	LDC_ent_053	gpe	country	country	6252001	United States of America				
KE007	location of Maidan in Kiev	PTR_R103_003	relation	LDC_rel_051	physical	locatednear	unspecified				Unknown		
KE007	Maidan	PTR_R103_003	rel051arg01entityorfiller	LDC_ent_047	fac	structure	plaza	80000020	"Maidan Nezalezhnosti (a.k.a. Maidan, Independence Square)"				
KE007	Kiev	PTR_R103_003	rel051arg02place	LDC_ent_057	gpe	urbanarea	city	703448	Kyiv (a.k.a. Kiev)				
KE008	affiliation between police and Berkut	PTR_R103_009	relation	LDC_rel_034	organizationaffiliation	employmentmembership	unspecified				Unknown		
KE008	police	PTR_R103_009	rel034arg01employeemember	LDC_ent_111	per	police	unspecified	PTE_R103_002					
KE008	Berkut	PTR_R103_009	rel034arg02placeofemploymentmembership	LDC_ent_089	org	government	lawenforcementagency	80000093	Berkut Riot Police				
