?docid	?edge_type_q	?edge_type	?object_cluster	?objectmo	?oinf_j_span	?subject_cluster	?subjectmo	?ej_span	?oinf_j_cv	?obcm_cv	?edge_cj_cv	?sbcm_cv
IC0015L64	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#GeneralAffiliation.OrganizationPoliticalReligiousAffiliation.NationalityCitizen_Nationality>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#GeneralAffiliation.OrganizationPoliticalReligiousAffiliation.NationalityCitizen_Nationality>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-2017370>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#EMIC0015L64.000084>	IC0015L64:HC00002ZG:(237,0)-(243,0)	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILR000867>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#RMIC0015L64.000050>	IC0015L64:HC00002ZG:(237,0)-(243,0)	1.0E0	1.0E0	1.0E0	1.0E0
IC0015L64	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#GeneralAffiliation.OrganizationPoliticalReligiousAffiliation.NationalityCitizen_Nationality>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#GeneralAffiliation.OrganizationPoliticalReligiousAffiliation.NationalityCitizen_Nationality>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-80000055>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#EMIC0015L64.000084>	IC0015L64:HC00002ZG:(237,0)-(243,0)	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILR000867>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#RMIC0015L64.000050>	IC0015L64:HC00002ZG:(237,0)-(243,0)	1.0E0	1.0E0	1.0E0	1.0E0
IC0015L64	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#GeneralAffiliation.OrganizationPoliticalReligiousAffiliation.NationalityCitizen_Nationality>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#GeneralAffiliation.OrganizationPoliticalReligiousAffiliation.NationalityCitizen_Nationality>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-2017370>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#EMIC0015L64.000178>	IC0015L64:HC00002ZG:(810,0)-(816,0)	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILR000869>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#RMIC0015L64.000144>	IC0015L64:HC00002ZG:(810,0)-(816,0)	1.0E0	1.0E0	1.0E0	1.0E0
IC0015L64	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#GeneralAffiliation.OrganizationPoliticalReligiousAffiliation.NationalityCitizen_Nationality>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#GeneralAffiliation.OrganizationPoliticalReligiousAffiliation.NationalityCitizen_Nationality>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-80000055>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#EMIC0015L64.000178>	IC0015L64:HC00002ZG:(810,0)-(816,0)	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILR000869>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#RMIC0015L64.000144>	IC0015L64:HC00002ZG:(810,0)-(816,0)	1.0E0	1.0E0	1.0E0	1.0E0
IC0015L64	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#GeneralAffiliation.OrganizationPoliticalReligiousAffiliation.NationalityCitizen_Nationality>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#GeneralAffiliation.OrganizationPoliticalReligiousAffiliation.NationalityCitizen_Nationality>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-2017370>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#EMIC0015L64.000285>	IC0015L64:HC00002ZG:(1008,0)-(1014,0)	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILR000870>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#RMIC0015L64.000251>	IC0015L64:HC00002ZG:(1008,0)-(1014,0)	1.0E0	1.0E0	1.0E0	1.0E0
IC0015L64	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#GeneralAffiliation.OrganizationPoliticalReligiousAffiliation.NationalityCitizen_Nationality>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#GeneralAffiliation.OrganizationPoliticalReligiousAffiliation.NationalityCitizen_Nationality>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-80000055>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#EMIC0015L64.000285>	IC0015L64:HC00002ZG:(1008,0)-(1014,0)	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILR000870>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#RMIC0015L64.000251>	IC0015L64:HC00002ZG:(1008,0)-(1014,0)	1.0E0	1.0E0	1.0E0	1.0E0
IC0015L64	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#GeneralAffiliation.OrganizationPoliticalReligiousAffiliation.NationalityCitizen_Nationality>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#GeneralAffiliation.OrganizationPoliticalReligiousAffiliation.NationalityCitizen_Nationality>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-690791>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#EMIC0015L64.001128>	IC0015L64:HC00002ZG:(2266,0)-(2274,0)	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILR000883>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#RMIC0015L64.001094>	IC0015L64:HC00002ZG:(2266,0)-(2274,0)	1.0E0	1.0E0	1.0E0	1.0E0
IC0015L64	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#GeneralAffiliation.OrganizationPoliticalReligiousAffiliation.NationalityCitizen_Nationality>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#GeneralAffiliation.OrganizationPoliticalReligiousAffiliation.NationalityCitizen_Nationality>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-80000032>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#EMIC0015L64.001128>	IC0015L64:HC00002ZG:(2266,0)-(2274,0)	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILR000883>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#RMIC0015L64.001094>	IC0015L64:HC00002ZG:(2266,0)-(2274,0)	1.0E0	1.0E0	1.0E0	1.0E0
IC0015L64	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#GeneralAffiliation.OrganizationPoliticalReligiousAffiliation.NationalityCitizen_Nationality>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#GeneralAffiliation.OrganizationPoliticalReligiousAffiliation.NationalityCitizen_Nationality>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-2017370>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#EMIC0015L64.002120>	IC0015L64:HC00002ZG:(5753,0)-(5759,0)	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILR000898>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#RMIC0015L64.002086>	IC0015L64:HC00002ZG:(5753,0)-(5759,0)	1.0E0	1.0E0	1.0E0	1.0E0
IC0015L64	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#GeneralAffiliation.OrganizationPoliticalReligiousAffiliation.NationalityCitizen_Nationality>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#GeneralAffiliation.OrganizationPoliticalReligiousAffiliation.NationalityCitizen_Nationality>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-80000055>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#EMIC0015L64.002120>	IC0015L64:HC00002ZG:(5753,0)-(5759,0)	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILR000898>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#RMIC0015L64.002086>	IC0015L64:HC00002ZG:(5753,0)-(5759,0)	1.0E0	1.0E0	1.0E0	1.0E0
